;BRL;BRL_comm_PCA
2015-04-29;2.934799909591675;2.829
2015-04-30;2.952699899673462;2.81
2015-05-01;3.011100053787231;2.857
2015-05-04;3.011100053787231;2.888
2015-05-05;3.0829999446868896;2.892
2015-05-06;3.053100109100342;2.875
2015-05-07;3.028700113296509;2.875
2015-05-08;3.0213000774383545;2.891
2015-05-11;2.9711999893188477;2.883
2015-05-12;3.0564000606536865;2.912
2015-05-13;3.0174999237060547;2.881
2015-05-14;3.0364999771118164;2.85
2015-05-15;2.9899001121520996;2.833
2015-05-18;2.9914000034332275;2.868
2015-05-19;3.0058000087738037;2.907
2015-05-20;3.031599998474121;2.919
2015-05-21;3.001699924468994;2.904
2015-05-22;3.0367000102996826;2.916
2015-05-25;3.0889999866485596;2.934
2015-05-26;3.0931999683380127;2.929
2015-05-27;3.1480000019073486;2.991
2015-05-28;3.137900114059448;2.994
2015-05-29;3.158400058746338;3.018
2015-06-01;3.175800085067749;3.032
2015-06-02;3.1695001125335693;3.04
2015-06-03;3.1285998821258545;3.018
