;BRL;BRL_emerg_PCA
2014-12-17;2.7351999282836914;2.603
2014-12-18;2.711999893188477;2.605
2014-12-19;2.6593000888824463;2.597
2014-12-22;2.6565001010894775;2.62
2014-12-23;2.662400007247925;2.617
2014-12-24;2.691200017929077;2.638
2014-12-25;2.691200017929077;2.638
2014-12-26;2.695199966430664;2.64
2014-12-29;2.692699909210205;2.639
2014-12-30;2.6993000507354736;2.62
2014-12-31;2.654099941253662;2.642
2015-01-01;2.6542000770568848;2.64
2015-01-02;2.6531999111175537;2.637
2015-01-05;2.691200017929077;2.679
2015-01-06;2.7030999660491943;2.701
2015-01-07;2.6965999603271484;2.712
2015-01-08;2.680799961090088;2.701
2015-01-09;2.6596999168395996;2.681
2015-01-12;2.6263999938964844;2.687
2015-01-13;2.6702001094818115;2.692
2015-01-14;2.6396000385284424;2.696
2015-01-15;2.612099885940552;2.714
2015-01-16;2.638700008392334;2.741
2015-01-19;2.6168999671936035;2.743
2015-01-20;2.648099899291992;2.724
2015-01-21;2.611000061035156;2.719
2015-01-22;2.597100019454956;2.719
2015-01-23;2.57069993019104;2.728
2015-01-26;2.577800035476685;2.721
2015-01-27;2.579900026321411;2.713
2015-01-28;2.5692999362945557;2.703
2015-01-29;2.5731000900268555;2.711
2015-01-30;2.6001999378204346;2.702
2015-02-02;2.678800106048584;2.724
2015-02-03;2.723599910736084;2.724
2015-02-04;2.6910998821258545;2.696
2015-02-05;2.738300085067749;2.717
2015-02-06;2.7416000366210938;2.686
2015-02-09;2.779599905014038;2.713
2015-02-10;2.7662999629974365;2.718
2015-02-11;2.8310999870300293;2.734
2015-02-12;2.865499973297119;2.727
2015-02-13;2.816999912261963;2.706
2015-02-16;2.830899953842163;2.695
2015-02-17;2.825999975204468;2.398
2015-02-18;2.825700044631958;2.744
2015-02-19;2.8340001106262207;2.738
2015-02-20;2.863300085067749;2.429
2015-02-23;2.8640999794006348;2.743
2015-02-24;2.8747000694274902;2.759
2015-02-25;2.8570001125335693;2.744
2015-02-26;2.868799924850464;2.74
2015-02-27;2.9049999713897705;2.779
2015-03-02;2.8368000984191895;2.793
2015-03-03;2.892699956893921;2.805
2015-03-04;2.9279000759124756;2.806
2015-03-05;2.971400022506714;2.821
2015-03-06;3.0000998973846436;2.837
2015-03-09;3.056999921798706;2.873
2015-03-10;3.1226999759674072;2.886
2015-03-11;3.101599931716919;2.948
2015-03-12;3.1268999576568604;2.951
2015-03-13;3.163100004196167;2.943
2015-03-16;3.244999885559082;2.988
2015-03-17;3.242799997329712;2.962
2015-03-18;3.2462000846862793;2.955
2015-03-19;3.218100070953369;2.937
2015-03-20;3.29040002822876;2.962
2015-03-23;3.224600076675415;2.915
2015-03-24;3.1282999515533447;2.873
2015-03-25;3.136199951171875;2.554
2015-03-26;3.19729995727539;2.86
2015-03-27;3.179500102996826;2.883
2015-03-30;3.2411999702453613;2.935
2015-03-31;3.2260000705718994;2.94
2015-04-01;3.188499927520752;2.93
2015-04-02;3.164299964904785;2.918
2015-04-03;3.1222000122070312;2.88
2015-04-06;3.1215999126434326;2.867
2015-04-07;3.1215999126434326;2.879
2015-04-08;3.1250998973846436;2.915
2015-04-09;3.046099901199341;2.913
2015-04-10;3.055299997329712;2.959
2015-04-13;3.071799993515014;2.985
2015-04-14;3.1191999912261963;2.986
2015-04-15;3.0645999908447266;2.963
2015-04-16;3.025899887084961;2.955
2015-04-17;3.0185999870300293;2.943
2015-04-20;3.0367000102996826;2.948
2015-04-21;3.029400110244751;2.961
2015-04-22;3.0260000228881836;2.948
2015-04-23;3.005199909210205;2.976
2015-04-24;2.9684998989105225;2.958
2015-04-27;2.9482998847961426;2.93
2015-04-28;2.913100004196167;2.931
2015-04-29;2.934799909591675;2.907
2015-04-30;2.952699899673462;2.873
2015-05-01;3.011100053787231;2.904
2015-05-04;3.011100053787231;2.922
2015-05-05;3.0829999446868896;2.914
2015-05-06;3.053100109100342;2.902
2015-05-07;3.028700113296509;2.891
2015-05-08;3.0213000774383545;2.894
2015-05-11;2.9711999893188477;2.908
2015-05-12;3.0564000606536865;2.941
2015-05-13;3.0174999237060547;2.925
2015-05-14;3.0364999771118164;2.89
2015-05-15;2.9899001121520996;2.845
2015-05-18;2.9914000034332275;2.861
2015-05-19;3.0058000087738037;2.919
2015-05-20;3.031599998474121;2.934
2015-05-21;3.001699924468994;2.934
2015-05-22;3.0367000102996826;2.953
2015-05-25;3.0889999866485596;2.981
2015-05-26;3.0931999683380127;2.98
2015-05-27;3.1480000019073486;3.048
2015-05-28;3.137900114059448;3.042
2015-05-29;3.158400058746338;3.043
2015-06-01;3.175800085067749;3.041
2015-06-02;3.1695001125335693;3.052
2015-06-03;3.1285998821258545;3.029
2015-06-04;3.13319993019104;3.035
2015-06-05;3.140199899673462;2.7
2015-06-08;3.1396000385284424;3.081
2015-06-09;3.1098999977111816;3.052
2015-06-10;3.0954999923706055;3.032
2015-06-11;3.114000082015991;3.014
2015-06-12;3.087100028991699;3.019
2015-06-15;3.11680006980896;3.035
2015-06-16;3.123500108718872;3.036
2015-06-17;3.086899995803833;3.029
2015-06-18;3.0504000186920166;3.011
2015-06-19;3.057800054550171;3.008
2015-06-22;3.0931999683380127;2.991
2015-06-23;3.084399938583374;3.024
2015-06-24;3.0738000869750977;3.061
2015-06-25;3.094899892807007;3.061
2015-06-26;3.124399900436402;3.065
2015-06-29;3.125699996948242;3.132
2015-06-30;3.115000009536743;3.099
2015-07-01;3.1080000400543213;3.12
2015-07-02;3.1454999446868896;3.124
2015-07-03;3.0940001010894775;3.102
2015-07-06;3.129199981689453;3.155
2015-07-07;3.1350998878479004;3.16
2015-07-08;3.1786999702453613;3.178
2015-07-09;3.2316999435424805;3.182
2015-07-10;3.221100091934204;3.152
2015-07-13;3.155600070953369;3.133
2015-07-14;3.131200075149536;3.129
2015-07-15;3.1364998817443848;3.135
2015-07-16;3.1356000900268555;3.152
2015-07-17;3.150599956512451;3.167
2015-07-20;3.1851999759674072;3.162
2015-07-21;3.194499969482422;3.192
2015-07-22;3.1719000339508057;3.182
2015-07-23;3.2197999954223633;3.182
2015-07-24;3.2841999530792236;3.201
2015-07-27;3.3559999465942383;3.223
2015-07-28;3.3617000579833984;3.193
2015-07-29;3.3545000553131104;3.194
2015-07-30;3.323899984359741;3.211
2015-07-31;3.370800018310547;3.225
2015-08-03;3.4193999767303467;3.226
2015-08-04;3.4488000869750977;3.253
2015-08-05;3.4663000106811523;3.294
2015-08-06;3.483799934387207;3.287
2015-08-07;3.531599998474121;3.277
2015-08-10;3.531599998474121;3.263
2015-08-11;3.435699939727783;3.229
2015-08-12;3.4709999561309814;3.272
2015-08-13;3.475100040435791;3.281
2015-08-14;3.5192999839782715;3.28
2015-08-17;3.47790002822876;3.295
2015-08-18;3.476599931716919;3.273
2015-08-19;3.464900016784668;3.295
2015-08-20;3.488300085067749;3.302
2015-08-21;3.457799911499023;3.321
2015-08-24;3.497999906539917;3.362
2015-08-25;3.548099994659424;3.357
2015-08-26;3.611500024795532;3.341
2015-08-27;3.594099998474121;3.374
2015-08-28;3.5501999855041504;3.368
2015-08-31;3.578700065612793;3.349
2015-09-01;3.619199991226196;3.345
2015-09-02;3.692500114440918;3.367
2015-09-03;3.7539000511169434;3.385
2015-09-04;3.734999895095825;3.405
2015-09-07;3.8396999835968018;3.393
2015-09-08;3.8350000381469727;3.423
2015-09-09;3.8159000873565674;3.411
2015-09-10;3.778700113296509;3.385
2015-09-11;3.848099946975708;3.392
2015-09-14;3.868200063705444;3.362
2015-09-15;3.810699939727783;3.364
2015-09-16;3.859699964523315;3.339
2015-09-17;3.8285999298095703;3.333
2015-09-18;3.891400098800659;3.314
2015-09-21;3.938999891281128;3.339
2015-09-22;3.9814000129699703;3.419
2015-09-23;4.047699928283691;3.486
2015-09-24;4.175099849700928;3.466
2015-09-25;3.933000087738037;3.47
2015-09-28;3.967600107192993;3.487
2015-09-29;4.103700160980225;3.497
2015-09-30;4.0543999671936035;3.473
2015-10-01;3.94569993019104;3.513
2015-10-02;3.998800039291382;3.493
2015-10-05;3.927500009536743;3.467
2015-10-06;3.909899950027466;3.442
2015-10-07;3.848999977111816;3.388
2015-10-08;3.880300045013428;3.401
2015-10-09;3.781899929046631;3.367
2015-10-12;3.759099960327149;3.351
2015-10-13;3.760499954223633;3.382
2015-10-14;3.8887999057769775;3.41
2015-10-15;3.8071000576019287;3.365
2015-10-16;3.7925000190734863;3.379
2015-10-19;3.920700073242187;3.398
2015-10-20;3.8877999782562256;3.432
2015-10-21;3.9022998809814458;3.471
2015-10-22;3.9367001056671143;3.49
2015-10-23;3.9022998809814458;3.516
2015-10-26;3.875600099563598;3.542
2015-10-27;3.903899908065796;3.546
2015-10-28;3.8833999633789062;3.565
2015-10-29;3.897200107574463;3.585
2015-10-30;3.84470009803772;3.577
2015-11-02;3.8513998985290527;3.551
2015-11-03;3.870199918746948;3.542
2015-11-04;3.767100095748902;3.571
2015-11-05;3.795599937438965;3.611
2015-11-06;3.780100107192993;3.633
2015-11-09;3.766299962997437;3.682
2015-11-10;3.799099922180176;3.679
2015-11-11;3.7453999519348145;3.683
2015-11-12;3.762900114059448;3.635
2015-11-13;3.766900062561035;3.656
2015-11-16;3.84060001373291;3.744
2015-11-17;3.8255999088287354;3.739
2015-11-18;3.808300018310547;3.733
2015-11-19;3.767100095748902;3.743
2015-11-20;3.761199951171875;3.683
2015-11-23;3.6995999813079834;3.703
2015-11-24;3.728899955749512;3.716
2015-11-25;3.696199893951416;3.714
2015-11-26;3.739399909973145;3.731
2015-11-27;3.7383999824523926;3.753
2015-11-30;3.841399908065796;3.766
2015-12-01;3.8666000366210938;3.783
2015-12-02;3.850600004196167;3.748
2015-12-03;3.832299947738647;3.745
2015-12-04;3.7558999061584473;3.663
2015-12-07;3.750999927520752;3.74
2015-12-08;3.759500026702881;3.796
2015-12-09;3.814500093460083;3.804
2015-12-10;3.742700099945069;3.327
2015-12-11;3.807800054550171;3.88
2015-12-14;3.812700033187866;3.854
2015-12-15;3.884399890899658;3.305
2015-12-16;3.905900001525879;3.801
2015-12-17;3.892899990081787;3.81
2015-12-18;3.876300096511841;3.842
2015-12-21;3.978399991989136;3.831
2015-12-22;4.01140022277832;3.786
2015-12-23;3.9851999282836914;3.788
2015-12-24;3.940999984741211;3.786
2015-12-25;3.913000106811523;3.772
2015-12-28;3.908200025558472;3.768
2015-12-29;3.85509991645813;3.786
2015-12-30;3.864099979400635;3.806
2015-12-31;3.956700086593628;3.815
2016-01-01;3.950000047683716;3.853
2016-01-04;3.9491000175476074;3.842
2016-01-05;4.037300109863281;3.889
2016-01-06;4.026899814605713;3.934
2016-01-07;4.019899845123291;4.021
