;BRL;BRL_emerg_PCA
2012-08-14;2.019700050354004;1.838
2012-08-15;2.0257999897003174;1.834
2012-08-16;2.0236001014709473;1.84
2012-08-17;2.0151000022888184;1.821
2012-08-20;2.0144999027252197;1.829
2012-08-21;2.0143001079559326;1.825
2012-08-22;2.0109000205993652;1.817
2012-08-23;2.015300035476685;1.823
2012-08-24;2.0227999687194824;1.829
2012-08-27;2.023099899291992;1.834
2012-08-28;2.0309998989105225;1.833
2012-08-29;2.0408999919891357;1.842
2012-08-30;2.046999931335449;1.864
2012-08-31;2.0455000400543213;1.857
2012-09-03;2.0276999473571777;1.85
2012-09-04;2.028599977493286;1.851
2012-09-05;2.0367000102996826;1.851
2012-09-06;2.036200046539306;1.837
2012-09-07;2.0250000953674316;1.814
2012-09-10;2.0253000259399414;1.802
2012-09-11;2.0192999839782715;1.806
2012-09-12;2.011899948120117;1.792
2012-09-13;2.0237998962402344;1.78
2012-09-14;2.018199920654297;1.756
2012-09-17;2.009299993515014;1.75
2012-09-18;2.0302999019622803;1.763
2012-09-19;2.01990008354187;1.778
2012-09-20;2.0215001106262207;1.783
2012-09-21;2.0181000232696533;1.793
2012-09-24;2.0188000202178955;1.796
2012-09-25;2.0234999656677246;1.794
2012-09-26;2.0281999111175537;1.798
2012-09-27;2.0332000255584717;1.795
2012-09-28;2.0269999504089355;1.79
2012-10-01;2.022599935531616;1.79
2012-10-02;2.0230000019073486;1.787
2012-10-03;2.025099992752075;1.783
2012-10-04;2.018699884414673;1.766
2012-10-05;2.0160999298095703;1.766
2012-10-08;1.9974000453948977;1.764
2012-10-09;2.028700113296509;1.771
2012-10-10;2.0306999683380127;1.794
2012-10-11;2.039400100708008;1.79
2012-10-12;2.039099931716919;1.781
2012-10-15;2.0418999195098877;1.782
2012-10-16;2.0355000495910645;1.778
2012-10-17;2.033400058746338;1.765
2012-10-18;2.029900074005127;1.774
2012-10-19;2.0260000228881836;1.781
2012-10-22;2.0260000228881836;1.786
2012-10-23;2.0230000019073486;1.789
2012-10-24;2.025399923324585;1.798
2012-10-25;2.0241000652313232;1.81
2012-10-26;2.0239999294281006;1.814
2012-10-29;2.0251998901367188;1.814
2012-10-30;2.030900001525879;1.816
2012-10-31;2.0290000438690186;1.816
2012-11-01;2.027899980545044;1.81
2012-11-02;2.0295000076293945;1.817
2012-11-05;2.0288000106811523;1.816
2012-11-06;2.0341999530792236;1.808
2012-11-07;2.029099941253662;1.825
2012-11-08;2.0329999923706055;1.844
2012-11-09;2.0371999740600586;1.859
2012-11-12;2.0445001125335693;1.86
2012-11-13;2.049299955368042;1.863
2012-11-14;2.0571999549865723;1.868
2012-11-15;2.063699960708618;1.853
2012-11-16;2.0648000240325928;1.837
2012-11-19;2.0806000232696533;1.836
2012-11-20;2.077199935913086;1.827
2012-11-21;2.080199956893921;1.834
2012-11-22;2.095599889755249;1.819
2012-11-23;2.103300094604492;1.81
2012-11-26;2.0801000595092773;1.805
2012-11-27;2.0813000202178955;1.802
2012-11-28;2.0829999446868896;1.801
2012-11-29;2.091900110244751;1.797
2012-11-30;2.095599889755249;1.798
2012-12-03;2.1338999271392822;1.8
2012-12-05;2.118299961090088;1.79
2012-12-06;2.087100028991699;1.785
2012-12-07;2.075999975204468;1.797
2012-12-10;2.073499917984009;1.793
2012-12-11;2.076200008392334;1.777
2012-12-12;2.0755999088287354;1.769
2012-12-13;2.0703999996185303;1.775
2012-12-14;2.0843000411987305;1.766
2012-12-17;2.085099935531616;1.754
2012-12-18;2.095099925994873;1.747
2012-12-19;2.0880000591278076;1.747
2012-12-20;2.069200038909912;1.75
2012-12-21;2.0692999362945557;1.766
2012-12-24;2.056299924850464;1.776
2012-12-25;2.074899911880493;1.776
2012-12-26;2.0771000385284424;1.771
2012-12-27;2.0480000972747803;1.769
2012-12-28;2.0416998863220215;1.765
2012-12-31;2.045099973678589;1.747
2013-01-01;2.0506999492645264;1.761
2013-01-02;2.045599937438965;1.739
2013-01-03;2.045599937438965;1.751
2013-01-04;2.0487000942230225;1.764
2013-01-07;2.032399892807007;1.776
2013-01-08;2.026400089263916;1.771
2013-01-09;2.04010009765625;1.766
2013-01-10;2.0476999282836914;1.742
2013-01-11;2.0276999473571777;1.731
2013-01-14;2.0297000408172607;1.722
2013-01-15;2.032399892807007;1.73
2013-01-17;2.040800094604492;1.728
2013-01-18;2.037100076675415;1.744
2013-01-21;2.0297999382019043;1.763
2013-01-22;2.0387001037597656;1.758
2013-01-23;2.0409998893737793;1.769
2013-01-24;2.033900022506714;1.76
2013-01-25;2.0285000801086426;1.765
2013-01-28;2.0285000801086426;1.76
2013-01-29;1.9940999746322632;1.761
2013-01-30;1.9864000082015991;1.766
2013-01-31;1.9882999658584597;1.771
2013-02-01;1.990599989891052;1.752
2013-02-04;1.9864000082015991;1.758
2013-02-05;1.9946999549865725;1.759
2013-02-06;1.982900023460388;1.758
2013-02-07;1.9859000444412231;1.766
2013-02-08;1.9635000228881836;1.785
2013-02-11;1.9701000452041624;1.78
2013-02-12;1.9707000255584717;1.771
2013-02-13;1.9687999486923216;1.775
2013-02-14;1.964100003242493;1.779
2013-02-15;1.9562000036239624;1.78
2013-02-18;1.9651999473571775;1.783
2013-02-19;1.9596999883651731;1.785
2013-02-20;1.9538999795913696;1.784
2013-02-21;1.9601000547409055;1.797
2013-02-22;1.9717999696731567;1.797
2013-02-25;1.969099998474121;1.806
2013-02-26;1.9804999828338623;1.824
2013-02-27;1.982100009918213;1.812
2013-02-28;1.9744000434875488;1.814
2013-03-01;1.9776999950408936;1.823
2013-03-04;1.9810999631881712;1.818
2013-03-05;1.9710999727249143;1.816
2013-03-06;1.962499976158142;1.818
2013-03-07;1.9707000255584717;1.843
2013-03-08;1.9594999551773071;1.808
2013-03-11;1.9419000148773191;1.831
2013-03-12;1.9572999477386477;1.817
2013-03-13;1.9656000137329104;1.821
2013-03-14;1.971500039100647;1.829
2013-03-15;1.972000002861023;1.821
2013-03-18;1.978800058364868;1.835
2013-03-19;1.982800006866455;1.831
2013-03-20;1.9825999736785889;1.87
2013-03-21;1.9844000339508057;1.865
2013-03-22;2.0051000118255615;1.872
2013-03-25;2.006500005722046;1.856
2013-03-26;2.00600004196167;1.877
2013-03-27;2.014899969100952;1.867
2013-03-28;2.010200023651123;1.875
2013-03-29;2.019200086593628;1.893
2013-04-01;2.0190000534057617;1.894
2013-04-02;2.0151000022888184;1.902
2013-04-03;2.0185999870300293;1.893
2013-04-04;2.0209999084472656;1.891
2013-04-05;2.0127999782562256;1.864
2013-04-08;1.983199954032898;1.853
2013-04-09;1.989699959754944;1.85
2013-04-10;1.9805999994277952;1.842
2013-04-11;1.9731999635696411;1.843
2013-04-12;1.9747999906539917;1.84
2013-04-15;1.9661999940872192;1.841
2013-04-16;1.9980000257492063;1.86
2013-04-17;1.9845999479293823;1.841
2013-04-18;1.997099995613098;1.887
2013-04-19;1.9816999435424805;1.892
2013-04-22;2.005199909210205;1.891
2013-04-23;2.015899896621704;1.91
2013-04-24;2.018399953842163;1.904
2013-04-25;2.008699893951416;1.9
2013-04-26;1.9993000030517576;1.908
2013-04-29;1.993299961090088;1.914
2013-04-30;2.00570011138916;1.897
2013-05-01;2.001499891281128;1.891
2013-05-02;2.001699924468994;1.898
2013-05-03;2.0069000720977783;1.901
2013-05-06;2.0053999423980713;1.899
2013-05-07;2.0058999061584473;1.892
2013-05-08;2.0058000087738037;1.901
2013-05-09;2.000699996948242;1.878
2013-05-10;2.009299993515014;1.901
2013-05-13;2.0137999057769775;1.903
2013-05-14;2.006200075149536;1.914
2013-05-15;2.018399953842163;1.928
2013-05-16;2.01990008354187;1.924
2013-05-17;2.022599935531616;1.944
2013-05-20;2.0311999320983887;1.959
2013-05-21;2.0357000827789307;1.963
2013-05-22;2.0327999591827393;1.96
2013-05-23;2.045599937438965;1.986
2013-05-24;2.041100025177002;1.978
2013-05-27;2.0469000339508057;1.981
2013-05-28;2.053499937057495;1.991
2013-05-29;2.0738000869750977;2.012
2013-05-30;2.107300043106079;2.005
2013-05-31;2.1077001094818115;2.032
2013-06-03;2.089900016784668;2.071
2013-06-04;2.121299982070923;2.037
2013-06-05;2.124000072479248;2.034
2013-06-06;2.1250998973846436;2.066
2013-06-07;2.1273999214172363;2.043
2013-06-10;2.1273999214172363;2.033
2013-06-11;2.1273999214172363;2.056
2013-06-12;2.1273999214172363;2.033
2013-06-13;2.1526999473571777;2.047
2013-06-14;2.11680006980896;1.994
2013-06-17;2.096400022506714;2.005
2013-06-18;2.167799949645996;2.011
2013-06-19;2.1775999069213867;2.024
2013-06-20;2.2242000102996826;2.085
2013-06-21;2.25570011138916;2.108
2013-06-24;2.2385001182556152;2.136
2013-06-25;2.225600004196167;2.136
2013-06-26;2.210200071334839;2.121
2013-06-27;2.186199903488159;2.13
2013-06-28;2.1958999633789062;2.111
2013-07-01;2.189199924468994;2.115
2013-07-02;2.223099946975708;2.098
2013-07-03;2.2472000122070312;2.117
2013-07-04;2.263400077819824;2.11
2013-07-05;2.246000051498413;2.141
2013-07-08;2.247499942779541;2.185
2013-07-09;2.2614998817443848;2.167
2013-07-10;2.2541000843048096;2.172
2013-07-11;2.270400047302246;2.096
2013-07-12;2.252000093460083;1.735
2013-07-15;2.261899948120117;2.12
2013-07-16;2.2163000106811523;2.108
2013-07-17;2.248800039291382;2.102
2013-07-18;2.222899913787842;2.097
2013-07-19;2.2218000888824463;2.116
2013-07-22;2.244800090789795;2.112
2013-07-23;2.2302000522613525;2.131
2013-07-24;2.2100000381469727;2.092
2013-07-25;2.2435998916625977;2.135
2013-07-26;2.240700006484986;2.14
2013-07-29;2.2544000148773193;2.12
2013-07-30;2.2665998935699463;2.143
2013-07-31;2.279400110244751;2.154
2013-08-01;2.273699998855591;2.173
2013-08-02;2.3011999130249023;2.189
2013-08-05;2.2839999198913574;2.156
2013-08-06;2.3025999069213867;2.172
2013-08-07;2.2952001094818115;2.165
2013-08-08;2.3041000366210938;2.174
2013-08-09;2.2785000801086426;2.141
2013-08-12;2.2685999870300293;2.131
2013-08-13;2.2844998836517334;2.142
2013-08-14;2.310699939727783;2.18
2013-08-15;2.321500062942505;2.173
2013-08-16;2.3378000259399414;2.156
2013-08-19;2.387500047683716;2.183
2013-08-20;2.409600019454956;2.218
2013-08-21;2.393899917602539;2.165
2013-08-22;2.4477999210357666;2.23
2013-08-23;2.432499885559082;2.217
2013-08-26;2.3454999923706055;2.187
2013-08-27;2.376199960708618;2.201
2013-08-28;2.3684000968933105;2.224
2013-08-29;2.3424999713897705;2.22
2013-08-30;2.356100082397461;2.221
2013-09-02;2.38070011138916;2.223
2013-09-03;2.374799966812134;2.223
2013-09-04;2.3559999465942383;2.249
2013-09-05;2.357800006866455;2.23
2013-09-06;2.3203999996185303;2.263
2013-09-23;2.2074999809265137;2.145
2013-09-24;2.1958000659942627;2.123
2013-09-25;2.194700002670288;2.123
2013-09-26;2.223299980163574;2.144
2013-09-27;2.239000082015991;2.149
2013-09-30;2.2227001190185547;2.164
2013-10-01;2.2170000076293945;2.145
2013-10-02;2.212599992752075;2.15
2013-10-03;2.1895999908447266;2.118
2013-10-04;2.204900026321411;2.122
2013-10-07;2.2074999809265137;2.125
2013-10-09;2.2051000595092773;2.108
2013-10-10;2.2026000022888184;2.13
2013-10-11;2.1772000789642334;2.118
2013-10-14;2.1710000038146973;2.115
2013-10-15;2.1789000034332275;2.115
2013-10-16;2.177299976348877;2.136
2013-10-17;2.178100109100342;2.127
2013-10-18;2.1584999561309814;2.085
2013-10-21;2.1454999446868896;2.083
2013-10-22;2.170599937438965;2.11
2013-10-23;2.169600009918213;2.061
2013-10-24;2.186300039291382;2.091
2013-10-25;2.2005999088287354;2.086
2013-10-28;2.1844000816345215;2.107
2013-10-29;2.177500009536743;2.108
2013-10-30;2.181999921798706;2.128
2013-10-31;2.1810998916625977;2.132
2013-11-01;2.231800079345703;2.158
2013-11-04;2.251699924468994;2.202
2013-11-05;2.240799903869629;2.189
2013-11-06;2.2772998809814453;2.222
2013-11-07;2.2825000286102295;2.216
2013-11-08;2.3029000759124756;2.249
2013-11-11;2.309299945831299;2.258
2013-11-12;2.327800035476685;2.272
2013-11-13;2.330399990081787;2.282
2013-11-14;2.3289999961853027;2.267
2013-11-15;2.311300039291382;2.269
2013-11-18;2.3159000873565674;2.263
2013-11-19;2.2604000568389893;2.266
2013-11-20;2.2688000202178955;2.254
2013-11-21;2.268699884414673;2.295
2013-11-22;2.3020999431610107;2.289
2013-11-25;2.2737998962402344;2.238
2013-11-26;2.2808001041412354;2.272
2013-11-27;2.293800115585327;2.271
2013-11-28;2.3269999027252197;2.306
2013-11-29;2.3148999214172363;2.277
2013-12-02;2.3308000564575195;2.29
2013-12-03;2.353300094604492;2.35
2013-12-04;2.372999906539917;2.354
2013-12-05;2.388000011444092;2.351
2013-12-06;2.3561999797821045;2.35
2013-12-09;2.321799993515014;2.3
2013-12-10;2.316999912261963;2.337
2013-12-11;2.305999994277954;2.321
2013-12-12;2.33870005607605;2.34
2013-12-13;2.3320000171661377;2.348
2013-12-16;2.325000047683716;2.29
2013-12-17;2.3229000568389893;2.285
