Date,BRL,ZAR,ARS,CLP,COP,PEN,TRY,MXN,PLN,HUF
2009-12-21,1.7795000076293945,7.736000061035156,3.8190999031066895,495.6099853515625,1992.9000244140625,2.819999933242798,1.5261000394821167,12.923299789428711,2.9374001026153564,192.30999755859375
2009-12-22,1.7796000242233276,7.700900077819824,3.7978999614715576,497.6700134277344,2056.0,2.880000114440918,1.5247000455856323,12.881999969482422,2.9221999645233154,191.85000610351562
2009-12-23,1.7615000009536743,7.585599899291992,3.7923998832702637,497.0799865722656,2048.0,2.880000114440918,1.5195000171661377,12.900500297546387,2.8970000743865967,190.75
2009-12-24,1.7272000312805176,7.501399993896484,3.7416000366210938,497.44000244140625,2014.199951171875,2.8259999752044678,1.513700008392334,12.853699684143066,2.873500108718872,189.64999389648438
2009-12-28,1.7359999418258667,7.491600036621094,3.796799898147583,495.6199951171875,2034.0,2.876499891281128,1.5108000040054321,13.022700309753418,2.8947999477386475,189.6199951171875
2009-12-29,1.7359999418258667,7.399899959564209,3.821700096130371,502.2200012207031,2046.0,2.884500026702881,1.5094000101089478,13.007699966430664,2.881500005722046,189.75999450683594
2009-12-30,1.7389999628067017,7.377699851989746,3.798099994659424,497.4700012207031,2040.0,2.8884999752044678,1.5087000131607056,13.062700271606445,2.881200075149536,189.7100067138672
2009-12-31,1.7430000305175781,7.399600028991699,3.777100086212158,500.05999755859375,2039.0,2.888000011444092,1.4982999563217163,13.083999633789062,2.854099988937378,186.66000366210938
2010-01-04,1.718999981880188,7.264900207519531,3.7362000942230225,494.760009765625,2020.9000244140625,2.8176000118255615,1.473099946975708,12.871800422668457,2.825000047683716,186.0
2010-01-05,1.7369999885559082,7.3018999099731445,3.805500030517578,497.1700134277344,1987.0,2.872999906539917,1.4726999998092651,12.810799598693848,2.8452999591827393,187.42999267578125
2010-01-06,1.7315000295639038,7.302199840545654,3.808500051498413,490.8599853515625,1970.5,2.872999906539917,1.4714000225067139,12.739500045776367,2.837899923324585,186.25999450683594
2010-01-07,1.7388999462127686,7.424099922180176,3.7918999195098877,487.5,1936.800048828125,2.808500051498413,1.471500039100647,12.760199546813965,2.867300033569336,187.97999572753906
2010-01-08,1.7319999933242798,7.341800212860107,3.781100034713745,478.19000244140625,1936.9000244140625,2.8071999549865723,1.4579999446868896,12.684200286865234,2.81820011138916,185.63999938964844
2010-01-11,1.7309999465942383,7.355299949645996,3.797499895095825,480.7799987792969,1930.4000244140625,2.7939000129699707,1.4501999616622925,12.733599662780762,2.7980000972747803,183.80999755859375
2010-01-12,1.7373000383377075,7.412799835205078,3.8032000064849854,482.4599914550781,1929.5999755859375,2.795099973678589,1.4535000324249268,12.800800323486328,2.8122000694274902,184.74000549316406
2010-01-13,1.74590003490448,7.368100166320801,3.785599946975708,481.6000061035156,1926.9000244140625,2.793800115585327,1.4515999555587769,12.694000244140625,2.786799907684326,183.5500030517578
2010-01-14,1.7640999555587769,7.360000133514404,3.787600040435791,483.6300048828125,1938.4000244140625,2.793100118637085,1.4549000263214111,12.67020034790039,2.7904000282287598,183.69000244140625
2010-01-15,1.7644000053405762,7.378300189971924,3.793600082397461,483.5899963378906,1936.800048828125,2.793600082397461,1.4559999704360962,12.691499710083008,2.8153998851776123,186.49000549316406
2010-01-18,1.7632999420166016,7.384300231933594,3.789400100708008,478.760009765625,1933.4000244140625,2.799799919128418,1.4503999948501587,12.65820026397705,2.7860000133514404,185.27000427246094
2010-01-19,1.7741999626159668,7.393700122833252,3.7953999042510986,483.4100036621094,1936.0,2.7939000129699707,1.4555000066757202,12.63860034942627,2.802500009536743,186.92999267578125
2010-01-20,1.7894999980926514,7.518400192260742,3.792799949645996,486.010009765625,1918.5999755859375,2.801800012588501,1.4723999500274658,12.751899719238281,2.864799976348877,191.8699951171875
2010-01-21,1.8007999658584595,7.539999961853027,3.8025999069213867,485.9700012207031,1920.5,2.7994000911712646,1.4859000444412231,12.949700355529785,2.900599956512451,192.69000244140625
2010-01-22,1.8187999725341797,7.630799770355225,3.808300018310547,491.8900146484375,1941.5,2.7927000522613525,1.4884999990463257,12.970199584960938,2.886699914932251,192.0
2010-01-25,1.7834999561309814,7.542900085449219,3.7558000087738037,495.75,1949.9000244140625,2.800299882888794,1.4860999584197998,12.855799674987793,2.871999979019165,192.33999633789062
2010-01-26,1.8336000442504883,7.541999816894531,3.811300039291382,499.6499938964844,1926.0,2.796099901199341,1.4902000427246094,12.869500160217285,2.8896000385284424,192.5
2010-01-27,1.8495999574661255,7.572199821472168,3.816699981689453,505.3800048828125,1934.800048828125,2.7962000370025635,1.4986000061035156,12.946499824523926,2.9128000736236572,194.14999389648438
2010-01-28,1.8680000305175781,7.590000152587891,3.8206000328063965,522.6599731445312,1952.699951171875,2.803999900817871,1.496899962425232,13.049799919128418,2.9179000854492188,194.63999938964844
2010-01-29,1.8729000091552734,7.617000102996826,3.8222999572753906,515.239990234375,1957.199951171875,2.8039000034332275,1.4961999654769897,13.083499908447266,2.9107000827789307,195.33999633789062
2010-02-01,1.8624000549316406,7.4928998947143555,3.8320000171661377,513.4500122070312,1976.0,2.859999895095825,1.482300043106079,12.88759994506836,2.8554999828338623,193.35000610351562
2010-02-02,1.830399990081787,7.4664998054504395,3.822200059890747,514.75,1961.0,2.7929000854492188,1.4866000413894653,12.87279987335205,2.839600086212158,193.1199951171875
2010-02-03,1.850000023841858,7.520699977874756,3.833400011062622,522.510009765625,1967.0,2.8510000705718994,1.4918999671936035,12.948200225830078,2.8803000450134277,195.10000610351562
