Date,BRL,ZAR,ARS,CLP,COP,PEN,AUD,NZD
2009-12-21,1.7795000076293945,7.736000061035156,3.8190999031066895,495.6099853515625,1992.9000244140625,2.819999933242798,1.135599970817566,1.4184000492095947
2009-12-22,1.7796000242233276,7.700900077819824,3.7978999614715576,497.6700134277344,2056.0,2.880000114440918,1.1409000158309937,1.4305000305175781
2009-12-23,1.7615000009536743,7.585599899291992,3.7923998832702637,497.0799865722656,2048.0,2.880000114440918,1.1366000175476074,1.4191999435424805
2009-12-24,1.7272000312805176,7.501399993896484,3.7416000366210938,497.44000244140625,2014.199951171875,2.8259999752044678,1.1304999589920044,1.412600040435791
2009-12-28,1.7359999418258667,7.491600036621094,3.796799898147583,495.6199951171875,2034.0,2.876499891281128,1.1275999546051025,1.4127000570297241
2009-12-29,1.7359999418258667,7.399899959564209,3.821700096130371,502.2200012207031,2046.0,2.884500026702881,1.118899941444397,1.3950999975204468
2009-12-30,1.7389999628067017,7.377699851989746,3.798099994659424,497.4700012207031,2040.0,2.8884999752044678,1.1181000471115112,1.3824000358581543
2009-12-31,1.7430000305175781,7.399600028991699,3.777100086212158,500.05999755859375,2039.0,2.888000011444092,1.1131999492645264,1.3767999410629272
2010-01-04,1.718999981880188,7.264900207519531,3.7362000942230225,494.760009765625,2020.9000244140625,2.8176000118255615,1.095900058746338,1.3619999885559082
2010-01-05,1.7369999885559082,7.3018999099731445,3.805500030517578,497.1700134277344,1987.0,2.872999906539917,1.0966999530792236,1.3628000020980835
2010-01-06,1.7315000295639038,7.302199840545654,3.808500051498413,490.8599853515625,1970.5,2.872999906539917,1.086400032043457,1.3550000190734863
2010-01-07,1.7388999462127686,7.424099922180176,3.7918999195098877,487.5,1936.800048828125,2.808500051498413,1.0895999670028687,1.364799976348877
2010-01-08,1.7319999933242798,7.341800212860107,3.781100034713745,478.19000244140625,1936.9000244140625,2.8071999549865723,1.0809999704360962,1.3566999435424805
2010-01-11,1.7309999465942383,7.355299949645996,3.797499895095825,480.7799987792969,1930.4000244140625,2.7939000129699707,1.075600028038025,1.3476999998092651
2010-01-12,1.7373000383377075,7.412799835205078,3.8032000064849854,482.4599914550781,1929.5999755859375,2.795099973678589,1.086400032043457,1.3543000221252441
2010-01-13,1.74590003490448,7.368100166320801,3.785599946975708,481.6000061035156,1926.9000244140625,2.793800115585327,1.0820000171661377,1.3508000373840332
2010-01-14,1.7640999555587769,7.360000133514404,3.787600040435791,483.6300048828125,1938.4000244140625,2.793100118637085,1.073699951171875,1.347000002861023
2010-01-15,1.7644000053405762,7.378300189971924,3.793600082397461,483.5899963378906,1936.800048828125,2.793600082397461,1.083799958229065,1.3543000221252441
2010-01-18,1.7632999420166016,7.384300231933594,3.789400100708008,478.760009765625,1933.4000244140625,2.799799919128418,1.0782999992370605,1.3499000072479248
2010-01-19,1.7741999626159668,7.393700122833252,3.7953999042510986,483.4100036621094,1936.0,2.7939000129699707,1.083899974822998,1.3631000518798828
2010-01-20,1.7894999980926514,7.518400192260742,3.792799949645996,486.010009765625,1918.5999755859375,2.801800012588501,1.097100019454956,1.3854000568389893
2010-01-21,1.8007999658584595,7.539999961853027,3.8025999069213867,485.9700012207031,1920.5,2.7994000911712646,1.1054999828338623,1.4012999534606934
2010-01-22,1.8187999725341797,7.630799770355225,3.808300018310547,491.8900146484375,1941.5,2.7927000522613525,1.1095999479293823,1.4084999561309814
2010-01-25,1.7834999561309814,7.542900085449219,3.7558000087738037,495.75,1949.9000244140625,2.800299882888794,1.1050000190734863,1.399999976158142
2010-01-26,1.8336000442504883,7.541999816894531,3.811300039291382,499.6499938964844,1926.0,2.796099901199341,1.1109000444412231,1.412600040435791
2010-01-27,1.8495999574661255,7.572199821472168,3.816699981689453,505.3800048828125,1934.800048828125,2.7962000370025635,1.1157000064849854,1.4154000282287598
2010-01-28,1.8680000305175781,7.590000152587891,3.8206000328063965,522.6599731445312,1952.699951171875,2.803999900817871,1.1190999746322632,1.4187999963760376
2010-01-29,1.8729000091552734,7.617000102996826,3.8222999572753906,515.239990234375,1957.199951171875,2.8039000034332275,1.1308000087738037,1.4247000217437744
2010-02-01,1.8624000549316406,7.4928998947143555,3.8320000171661377,513.4500122070312,1976.0,2.859999895095825,1.1210999488830566,1.4104000329971313
2010-02-02,1.830399990081787,7.4664998054504395,3.822200059890747,514.75,1961.0,2.7929000854492188,1.1269999742507935,1.4012999534606934
2010-02-03,1.850000023841858,7.520699977874756,3.833400011062622,522.510009765625,1967.0,2.8510000705718994,1.1334999799728394,1.4301999807357788
2010-02-04,1.8803999423980713,7.673799991607666,3.841900110244751,539.8400268554688,1989.0,2.8610000610351562,1.1507999897003174,1.451799988746643
2010-02-05,1.882699966430664,7.763599872589111,3.8210999965667725,539.1799926757812,1993.0,2.861799955368042,1.1512999534606934,1.4494999647140503
2010-02-08,1.871500015258789,7.719900131225586,3.8513998985290527,529.0,2000.0,2.869499921798706,1.1581000089645386,1.4643000364303589
2010-02-09,1.843000054359436,7.670000076293945,3.843899965286255,530.6199951171875,1968.0,2.8610000610351562,1.1396000385284424,1.4381999969482422
2010-02-10,1.850600004196167,7.711249828338623,3.8371999263763428,528.3099975585938,1957.5,2.8545000553131104,1.1404999494552612,1.4397000074386597
2010-02-11,1.8515000343322754,7.633600234985352,3.8333001136779785,527.25,1948.0,2.8529999256134033,1.1232999563217163,1.4328999519348145
2010-02-12,1.8585000038146973,7.678100109100342,3.848599910736084,519.6900024414062,1933.0,2.8510000705718994,1.124500036239624,1.4322999715805054
