Date;PC1;PC2;BRL
2009-12-21;-2.2702258556794725;0.15670872989031123;1.7795000076293943
2009-12-22;-2.1454195071649402;0.11153453541362647;1.7796000242233276
2009-12-23;-2.200679647995858;0.12300167146658149;1.7615000009536743
2009-12-24;-2.301387570569486;0.16370779455583004;1.7272000312805176
2009-12-28;-2.25912831703584;0.14034903260361367;1.7359999418258667
2009-12-29;-2.301314857059202;0.15320360037570646;1.7359999418258667
2009-12-30;-2.34988333124525;0.1548672363113649;1.7389999628067017
2009-12-31;-2.3656506891192564;0.16225702812733436;1.743000030517578
2010-01-04;-2.539259546427386;0.22101300295508441;1.718999981880188
2010-01-05;-2.489693286641094;0.20108498365983477;1.7369999885559082
2010-01-06;-2.5551801848433477;0.214683350631085;1.7315000295639038
2010-01-07;-2.592175052864181;0.23949453601626894;1.7388999462127686
2010-01-08;-2.666155395381737;0.24992392551260867;1.7319999933242798
2010-01-11;-2.706381079753907;0.26576290021970606;1.7309999465942385
2010-01-12;-2.655782689508553;0.25113409401661985;1.7373000383377075
2010-01-13;-2.6833103098850337;0.2586030118745642;1.74590003490448
2010-01-14;-2.7009972494756775;0.2678935259484223;1.7640999555587769
2010-01-15;-2.659997010593392;0.2547073055526889;1.7644000053405762
2010-01-18;-2.6910450311684757;0.2575320226017512;1.7632999420166016
2010-01-19;-2.636213454825341;0.25215048138054563;1.7741999626159668
2010-01-20;-2.531934113145486;0.22977477782881706;1.7894999980926514
2010-01-21;-2.473186951924156;0.21714553065050726;1.8007999658584597
2010-01-22;-2.4172200101162424;0.21024896254595585;1.8187999725341797
2010-01-25;-2.436880074128227;0.21588110312884265;1.7834999561309814
2010-01-26;-2.3960014216251744;0.21437994616388484;1.8336000442504885
2010-01-27;-2.3560820381646055;0.20828832306190365;1.8495999574661257
2010-01-28;-2.2762403085813196;0.20324957473217137;1.868000030517578
2010-01-29;-2.252791549902479;0.1847538816802418;1.8729000091552737
2010-02-01;-2.269014987311901;0.17259728087373247;1.8624000549316408
2010-02-02;-2.3462595579806464;0.20228798206151244;1.830399990081787
2010-02-03;-2.177062115352277;0.16285900519904303;1.850000023841858
2010-02-04;-2.0036707208400353;0.13317881564763367;1.8803999423980713
2010-02-05;-1.9981832058979372;0.12939003766581628;1.882699966430664
2010-02-08;-1.9691728682587106;0.11123306225584906;1.871500015258789
2010-02-09;-2.0962081511871404;0.14886070565836315;1.843000054359436
2010-02-10;-2.1027986031895836;0.1503245522515838;1.850600004196167
2010-02-11;-2.1722289482211745;0.17476446770674717;1.8515000343322752
2010-02-12;-2.1955211458338444;0.17312862289468367;1.8585000038146973
2010-02-15;-2.2648339947927876;0.20143684837740525;1.8514000177383425
2010-02-16;-2.2970579747195345;0.1950253232722893;1.8424999713897705
2010-02-17;-2.255658983636054;0.19415964163927443;1.8329999446868896
2010-02-18;-2.168755994409183;0.17653625307538673;1.819000005722046
2010-02-19;-2.240970295794491;0.19231753815862784;1.803500056266785
2010-02-22;-2.2465388146655574;0.19393641682284932;1.8079999685287476
2010-02-23;-2.2360653300272677;0.20357912170466963;1.819599986076355
2010-02-24;-2.2535300270104353;0.21234402093454488;1.818600058555603
2010-02-25;-2.1461366071705306;0.16394604430515322;1.8359999656677248
2010-02-26;-2.2240818326126797;0.1810762364632886;1.805999994277954
2010-03-01;-2.3099957345262165;0.214630993269831;1.7979999780654907
2010-03-02;-2.2856114305718123;0.2009310926110878;1.7324999570846558
2010-03-03;-2.284734063531871;0.19814363255843967;1.787999987602234
2010-03-04;-2.2296382552693945;0.1901280344532391;1.78849995136261
2010-03-05;-2.344555391854436;0.21080162843467004;1.777999997138977
2010-03-08;-2.3652340385365695;0.2118957885528644;1.7847000360488892
2010-03-09;-2.4105629239563533;0.22596552847976903;1.781000018119812
2010-03-10;-2.3818524163615016;0.2212218981497998;1.7680000066757202
2010-03-11;-2.3573991802923175;0.22481275011594998;1.7690000534057615
2010-03-12;-2.357962372156159;0.2145209006477419;1.7610000371932983
2010-03-15;-2.4443585664310907;0.2543490386669789;1.7613999843597412
2010-03-16;-2.4406976928370687;0.2366035006734929;1.7661999464035034
2010-03-17;-2.440043115123525;0.2484420142700827;1.7619999647140503
2010-03-18;-2.4351141363009576;0.24482253623050282;1.7710000276565552
2010-03-19;-2.391178078336515;0.23498025523599012;1.7949999570846558
2010-03-22;-2.3864435231983006;0.2377289951794708;1.7990000247955322
2010-03-23;-2.3502979180615364;0.2386137576084764;1.7805999517440796
2010-03-24;-2.29204037798256;0.20963805840302754;1.7933000326156616
2010-03-25;-2.3090964111079506;0.21943907944925276;1.7990000247955322
2010-03-26;-2.2961896924762906;0.20828745193349718;1.8229999542236328
2010-03-29;-2.352290946268527;0.22969066378632638;1.808500051498413
2010-03-30;-2.37166069337189;0.23317685773780517;1.7937999963760376
2010-03-31;-2.383684044389652;0.229345042684022;1.780500054359436
2010-04-01;-2.4131470400303145;0.23633733761126993;1.7654000520706177
2010-04-02;-2.3952801750498107;0.23459448098260824;1.7649999856948853
2010-04-05;-2.38925350242192;0.23823499443119667;1.7604999542236328
2010-04-06;-2.4327863743203446;0.2462941188929615;1.753000020980835
2010-04-07;-2.423981994503218;0.24306955048579587;1.7769999504089355
2010-04-08;-2.4418436228771556;0.24129805107084404;1.7730000019073486
2010-04-09;-2.5114054014810225;0.25398774033506355;1.7710000276565552
2010-04-12;-2.4701623111032145;0.24530625311035145;1.7561999559402466
2010-04-13;-2.5245845125818462;0.27694834721925016;1.7135000228881836
2010-04-14;-2.4934100225087525;0.2515732548955245;1.746000051498413
